WARNING 2026-07-08 22:23:33,950 log 7772 16720 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,999 log 7772 16720 Not Found: /favicon.ico
WARNING 2026-07-08 22:23:33,999 log 7772 16720 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2026-07-08 22:24:10,477 log 7772 16720 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-07-08 22:24:10,487 log 7772 16720 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
WARNING 2026-07-08 22:24:10,534 log 7772 16720 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:24:10,535 log 7772 16720 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,539 log 7772 14620 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-07-08 22:24:10,540 log 7772 20732 Not Found: /static/admin/js/theme.js
WARNING 2026-07-08 22:24:10,541 log 7772 16720 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:24:10,542 log 7772 13828 Not Found: /static/admin/css/login.css
WARNING 2026-07-08 22:24:10,543 log 7772 6088 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:24:10,545 log 7772 20732 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,545 log 7772 14620 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,545 log 7772 13828 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,545 log 7772 6088 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,545 log 7772 16720 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,554 log 7772 6088 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:24:10,556 log 7772 16720 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-07-08 22:24:10,557 log 7772 14620 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:24:10,558 log 7772 13828 Not Found: /static/admin/css/login.css
WARNING 2026-07-08 22:24:10,559 log 7772 6088 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,560 log 7772 16720 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,560 log 7772 14620 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:24:10,561 log 7772 13828 "GET /static/admin/css/login.css HTTP/1.1" 404 179
